Station_ID,Stop_ID,Station_Name,Destination,Route,Run_Number,Prediction_Time,Arrival_Time,Is_Approaching,Is_Scheduled,Is_Delayed,Is_Fault
41130,30215,Halsted,Loop,Org,715,2023-04-23T17:51:26,2023-04-23T17:52:26,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,812,2023-04-23T17:52:02,2023-04-23T17:53:02,1,0,0,0
41130,30215,Halsted,Loop,Org,715,2023-04-23T17:52:12,2023-04-23T17:53:12,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,812,2023-04-23T17:52:02,2023-04-23T17:53:02,1,0,0,0
40840,30164,South Boulevard,Howard,P,508,2023-04-23T17:52:52,2023-04-23T17:53:52,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,812,2023-04-23T17:52:02,2023-04-23T17:53:02,1,0,0,0
40840,30164,South Boulevard,Howard,P,508,2023-04-23T17:52:52,2023-04-23T17:53:52,1,0,0,0
41360,30266,California,Harlem/Lake,G,614,2023-04-23T17:55:53,2023-04-23T17:56:53,1,0,0,0
41360,30266,California,Harlem/Lake,G,614,2023-04-23T17:56:19,2023-04-23T17:57:19,1,0,0,0
41360,30266,California,Harlem/Lake,G,614,2023-04-23T17:56:54,2023-04-23T17:57:54,1,0,0,0
41360,30266,California,Harlem/Lake,G,614,2023-04-23T17:56:54,2023-04-23T17:57:54,1,0,0,0
40330,30064,Grand,Howard,Red,912,2023-04-23T17:58:05,2023-04-23T17:59:05,1,0,0,0
41440,30278,Addison,Loop,Brn,417,2023-04-23T17:58:52,2023-04-23T17:59:52,1,0,0,0
41360,30265,California,Cottage Grove,G,10,2023-04-23T17:59:30,2023-04-23T18:00:30,1,0,0,0
41440,30278,Addison,Loop,Brn,417,2023-04-23T17:59:30,2023-04-23T18:00:30,1,0,0,0
41360,30265,California,Cottage Grove,G,10,2023-04-23T17:59:30,2023-04-23T18:00:30,1,0,0,0
41440,30278,Addison,Loop,Brn,417,2023-04-23T17:59:30,2023-04-23T18:00:30,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,506,2023-04-23T18:00:55,2023-04-23T18:01:55,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,506,2023-04-23T18:01:07,2023-04-23T18:02:07,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,913,2023-04-23T18:02:07,2023-04-23T18:03:07,1,0,0,0
41130,30215,Halsted,Loop,Org,711,2023-04-23T18:02:15,2023-04-23T18:03:15,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,913,2023-04-23T18:02:58,2023-04-23T18:03:58,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-23T18:02:40,2023-04-23T18:03:40,1,0,0,0
41130,30215,Halsted,Loop,Org,711,2023-04-23T18:02:48,2023-04-23T18:03:48,1,0,0,0
41680,30297,Oakton-Skokie,Skokie,Y,593,2023-04-23T18:03:16,2023-04-23T18:04:16,1,0,0,0
41030,30199,Polk,Loop,Pink,309,2023-04-23T18:04:31,2023-04-23T18:05:31,1,0,0,0
40330,30064,Grand,Howard,Red,908,2023-04-23T18:07:07,2023-04-23T18:08:07,1,0,0,0
41440,30278,Addison,Loop,Brn,413,2023-04-23T18:09:16,2023-04-23T18:10:16,1,0,0,0
40840,30164,South Boulevard,Howard,P,509,2023-04-23T18:09:12,2023-04-23T18:10:12,1,0,0,0
41440,30278,Addison,Loop,Brn,413,2023-04-23T18:09:16,2023-04-23T18:10:16,1,0,0,0
40840,30164,South Boulevard,Howard,P,509,2023-04-23T18:09:12,2023-04-23T18:10:12,1,0,0,0
41440,30278,Addison,Loop,Brn,413,2023-04-23T18:10:02,2023-04-23T18:11:02,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,593,2023-04-23T18:13:16,2023-04-23T18:14:16,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,593,2023-04-23T18:13:16,2023-04-23T18:14:16,1,0,0,0
41680,30298,Oakton-Skokie,Howard,Y,593,2023-04-23T18:13:54,2023-04-23T18:14:54,1,0,0,0
41130,30215,Halsted,Loop,Org,712,2023-04-23T18:14:19,2023-04-23T18:15:19,1,0,0,0
41130,30215,Halsted,Loop,Org,712,2023-04-23T18:14:34,2023-04-23T18:15:34,1,0,0,0
41360,30265,California,Ashland/63rd,G,609,2023-04-23T18:14:46,2023-04-23T18:15:46,1,0,0,0
41130,30215,Halsted,Loop,Org,712,2023-04-23T18:15:03,2023-04-23T18:16:03,1,0,0,0
41360,30265,California,Ashland/63rd,G,609,2023-04-23T18:15:37,2023-04-23T18:16:37,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,910,2023-04-23T18:16:17,2023-04-23T18:17:17,1,0,0,0
40330,30064,Grand,Howard,Red,817,2023-04-23T18:16:54,2023-04-23T18:17:54,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,910,2023-04-23T18:16:17,2023-04-23T18:17:17,1,0,0,0
41360,30266,California,Harlem/Lake,G,12,2023-04-23T18:16:47,2023-04-23T18:17:47,1,0,0,0
40330,30064,Grand,Howard,Red,817,2023-04-23T18:17:13,2023-04-23T18:18:13,1,0,0,0
40330,30065,Grand,95th/Dan Ryan,Red,910,2023-04-23T18:17:08,2023-04-23T18:18:08,1,0,0,0
41360,30266,California,Harlem/Lake,G,12,2023-04-23T18:17:17,2023-04-23T18:18:17,1,0,0,0
41360,30266,California,Harlem/Lake,G,12,2023-04-23T18:17:49,2023-04-23T18:18:49,1,0,0,0
41360,30266,California,Harlem/Lake,G,12,2023-04-23T18:17:49,2023-04-23T18:18:49,1,0,0,0
